total_positions,percent_profitable,percent_unprofitable,percent_liquidated,volatility,fear_and_greed,asset
0,0,0,0,36,6,eth
0,0,0,0,34,5,eth
0,0,0,0,35,5,eth
0,0,0,0,35,6,eth
0,0,0,0,34,6,eth
0,0,0,0,36,5,eth
