date,rsi,macd_histogram,bollinger_upper,bollinger_lower,stochastic_k,atr
2022-01-20,34.34112436020952,-17.154203256958937,3868.141700828982,2829.149827491331,11.302659437128842,172.81058175223214
2022-01-21,29.512737192577134,-47.90286157706052,3878.5857209187193,2697.5292693156557,6.757870464476383,189.18111746651786
2022-01-22,28.56371042616267,-73.10726475163733,3872.3788852084713,2561.2977261196534,6.996802154875277,193.86514718191964
2022-01-23,31.31132766705744,-75.31334574037626,3825.8491083216,2485.19337214715,19.122033307923214,195.99016462053572
2022-01-24,30.93929443954697,-77.14713993019961,3760.063393787833,2415.6086521106045,21.811941272845495,205.65998186383928
2022-01-25,24.713324357725483,-71.43848363341829,3724.706552592682,2341.520302876068,23.079947338422947,202.28505161830358
2022-01-26,18.263043990907335,-61.36136715330602,3696.0630180556404,2275.126044444359,24.14767868057402,209.68498883928572
2022-01-27,19.33443922663912,-52.5801258952126,3692.7920325474656,2201.3761071009717,20.8205283340832,212.03836495535714
2022-01-28,22.908116492922105,-34.158765352295944,3682.872481404875,2156.8075967201253,31.12622017103431,215.89568219866072
2022-01-29,24.48824828694272,-15.311758702674581,3659.2206371375596,2124.392766182753,35.27809143281428,216.94944545200892
2022-01-30,23.745082525753006,0.0658001280982603,3640.0311487881195,2095.619119766568,36.430815501816326,216.67159598214286
2022-01-31,30.870114769810655,17.46775543612071,3596.0059600244226,2084.6610321630774,47.20592065264054,217.39072963169642
2022-02-01,36.95253600453743,36.40071416074838,3524.362465877596,2098.2904149817787,56.70591998256004,215.94794573102678
2022-02-02,35.91765715679591,41.61817071953945,3467.4030723350384,2098.7063514930865,46.709614359735845,219.95835658482142
2022-02-03,38.29467768019925,44.60799650556277,3390.2290847316644,2112.796452377711,59.158880368841125,209.97767857142858
2022-02-04,67.21214241655761,65.6064098295457,3323.6133285192254,2144.717823824524,100.0,193.96875
2022-02-05,77.33507100898701,79.19656473209338,3249.0837729831055,2185.620011196582,95.52272152794139,179.850830078125
2022-02-06,75.41585328252464,88.00136043319316,3214.8496560683643,2204.371242369136,99.57420396684591,175.22237723214286
2022-02-07,84.4822843883773,95.83563420461957,3209.766713648905,2207.298740452658,95.30983084335917,161.98624093191964
2022-02-08,82.60448031536866,95.74078030357819,3215.585666629908,2204.15805895603,89.12886821093703,164.98427036830358
2022-02-09,84.22120157446614,99.18740407231829,3266.155134012445,2177.4222829797427,97.46457271246055,158.69102260044642
2022-02-10,76.30415217892154,86.65316362951856,3308.5480940897473,2186.9843766133777,78.5459041944905,160.04377092633928
2022-02-11,64.97126031339732,65.3199052677872,3315.8076895382314,2231.9450204227064,56.03255982779408,164.17220633370536
2022-02-12,63.01837713647881,48.380483426644666,3326.3556542925553,2259.629428715257,54.751533283750575,164.83525739397322
2022-02-13,61.13203503416,33.44887633882199,3323.038356367757,2307.257835038493,50.41792145055462,166.36607142857142
2022-02-14,60.02600688325892,25.837493154347467,3319.9980445751166,2358.052541362383,50.57483703902134,159.869140625
2022-02-15,64.19970393014053,35.68707363385427,3345.237981393835,2403.9972969264772,86.62259130279489,170.43842424665178
2022-02-16,67.00764915059827,36.837095897822344,3342.078962697154,2477.6392013653463,79.00816144298598,167.17820521763392
2022-02-17,56.52297390306673,19.99032083260591,3324.198105566562,2528.9590477537504,34.57755645630155,179.18277413504464
2022-02-18,42.62902159036586,2.311616969991161,3308.901172064588,2563.120263482287,4.725428957377301,169.72007533482142
2022-02-19,40.58795574353372,-10.261895056245624,3292.944347103331,2595.100550357606,9.98740632125613,171.97867257254464
2022-02-20,34.9570192720425,-26.166137235386206,3300.037778559824,2582.044081791739,6.230526043939407,177.83431570870536
2022-02-21,29.620731127506772,-38.14516968946751,3320.1237152634035,2540.1280425490963,0.7910780865362544,178.1630859375
2022-02-22,33.227744662940054,-39.27080585460437,3324.1960314523644,2531.7002576101354,16.90958094037979,175.10189383370536
2022-02-23,26.36020473869462,-40.747428747119784,3333.2540808227564,2513.761910388181,10.475543648339261,171.81331961495536
2022-02-24,30.32965747260735,-38.65867163836246,3337.6656193630843,2470.798394308791,32.985441341199106,184.61294991629464
2022-02-25,43.406935011816664,-24.22483333148724,3326.1777171735253,2457.2750416155372,51.9755593667649,184.90019880022322
2022-02-26,44.51286490347045,-12.320548232148091,3307.7175718346753,2448.098761173137,53.86650840059735,184.50824846540178
2022-02-27,40.429067837718705,-13.822347678108684,3277.2634436539684,2426.485994822594,35.69299984570729,195.01759556361608
2022-02-28,49.557782162837064,5.529541125168116,3249.1885931495863,2434.2200982566637,69.61923679140239,211.09517996651786
2022-03-01,42.703778982079086,21.34617724810773,3196.577340398211,2460.1341586252265,76.03628725883934,203.45582798549108
2022-03-02,43.61461002476409,29.241352246019922,3176.207239022616,2467.767883047697,75.8192361465351,202.061279296875
2022-03-03,48.13566535636079,25.737898862836857,3168.162172390635,2466.5214946015526,72.91901665843534,193.10348074776786
2022-03-04,43.90297874715202,8.72706917429555,3160.740196709523,2443.9227915717274,42.767512900819675,198.22938755580358
2022-03-05,46.48913098510179,1.0328402122526015,3152.714371158257,2430.085384701118,49.38227819973186,195.59674944196428
2022-03-06,47.33832949943176,-10.4702215117236,3142.0076916730873,2402.9478991472256,34.14874236908979,191.367431640625
2022-03-07,47.25515658332382,-20.381524620157506,3073.931615291782,2402.8133798254057,26.203246596195704,191.3778076171875
2022-03-08,47.76397320384418,-20.03445006175243,2998.86458270065,2422.772160463413,37.16096605239999,190.67586844308036
2022-03-09,54.638734619997074,-8.503846016511595,2980.1310893545588,2426.335805176691,58.3942214083488,193.11769321986608
